タイムスタンプ,名前,ふりがな,住所,電話番号（携帯）,参加形式,性別,年齢,徒競走（就学前児童）,デカパン競争,徒競走,みんなでヨーイドン,紅白玉入れ、入れて玉るか,ミニつな引き,大玉ころがし,パンくい競争,ワイワイガヤガヤむむかで,地区対抗リレー（小学生女子）,地区対抗リレー（小学生男子）,みんなでヨーイドン,ボルガの舟歌（紅白対抗）,紅白玉入れ、入れて玉るか,リングなわとび,障害物競走,大玉ころがし,パンくい競争,ワイワイガヤガヤむむかで,地区対抗リレー（小学生女子）,地区対抗リレー（小学生男子）,みんなでヨーイドン,ボルガの舟歌（紅白対抗）,マリツキさん,ペアで協力,女子紅白対抗つな引き,ワイワイガヤガヤむむかで,早飲み競走,みんなでヨーイドン,フットボールレース,ボルガの舟歌（紅白対抗）,地区対抗リレー（中学生以上　女子）,地区対抗リレー（中学生以上　男子）,デカパンサッカー,グラウンドゴルフリレー,地区対抗リレー（中学生以上　男子）,その他、ご質問があればご記入ください
2026/09/01 10:00:00,一番　英太,イチバンエイタ,甲子園一番町1-1,090-0000-0000,出場可,男,小学１～３年生,,,,,,出場希望,出場希望,出場希望,出場希望,,出場希望,,,出場希望,,,,,,,,,,,,,,,,,,,,,,,
2026/09/01 10:05:00,一番　美人登,イチバンビート,甲子園一番町1-1,090-0000-0000,出場可,男,小学１～３年生,,,,,,,出場希望,出場希望,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/09/01 10:10:00,一番　大翔,イチバンヒロト,甲子園一番町1-1,090-0000-0000,出場可,男,小学１～３年生,,,,,,,,出場希望,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/09/01 10:15:00,一番　小百合,イチバンサユリ,甲子園一番町1-1,090-0000-0000,出場可,女,小学４～６年生,,,,,,,,,,,,,,,,,,出場希望,,,,,,,,,,,,,,,,,,,
2026/09/01 10:20:00,一番　健太,イチバンケンタ,甲子園一番町1-1,090-0000-0000,出場可,男,中学生～２９歳,,,,,,,,,,,,,,,,,,,,,,,,,,出場希望,,,,出場希望,,,,出場希望,,,
2026/09/01 10:25:00,田村　昌士,タムラマサシ,甲子園一番町1-1,090-0000-0000,出場可,男,中学生～２９歳,,,,,,,,,,,,,,,,,,,,,,,,,出場希望,,,,,出場希望,,,,出場希望,,,二人三脚、デカパンサッカーは妻（タムラ　アヤ）とペアであれば出場可能です
2026/09/01 10:26:00,田村　彩,タムラアヤ,甲子園一番町1-1,090-0000-0000,出場可,女,３０歳〜３４歳,,,,,,,,,,,,,,,,,,,,,,,,,出場希望,,,,出場希望,,,,,,,,夫（タムラ　マサシ）とペアで二人三脚に出たいです
2026/09/01 10:30:00,一番　華子,イチバンハナコ,甲子園一番町1-1,090-0000-0000,応援のみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/09/01 10:35:00,西村　優輝,ニシムラユウキ,甲子園一番町1-1,090-0000-0000,出場可,男,小学４～６年生,,,,,,,,,,,,,,,,,,,,,出場希望,出場希望,出場希望,,,,,,,,,,,,,,
2026/09/01 10:40:00,佐藤　未来,サトウミライ,甲子園一番町1-1,090-0000-0000,出場可,女,就学前児童（保護者同伴で競技に参加）,出場希望,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/09/01 10:45:00,佐藤　大輝,サトウダイキ,甲子園一番町1-1,090-0000-0000,出場可,男,就学前児童（一人で競技に参加できる）,,出場希望,出場希望,出場希望,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/09/01 10:50:00,小林　武,コバヤシタケシ,甲子園一番町1-1,090-0000-0000,出場可,男,５０歳〜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出場希望,,出場希望,出場希望,
2026/09/01 10:55:00,山本　奏太,ヤマモトソウタ,甲子園一番町1-1,090-0000-0000,出場可,男,小学４～６年生,,,,,,,,,,,,,,,出場希望,,,,,,,,,,,,,,,,,,,,,,
2026/09/01 11:00:00,田中　諒,タナカリョウ,甲子園一番町1-1,090-0000-0000,出場可,男,中学生～２９歳,,,,,,,,,,,,,,,,,,,,,,,,,,,,出場希望,,出場希望,,,出場希望,出場希望,,出場希望,
2026/09/01 11:05:00,藤原　啓司,フジワラケイジ,甲子園一番町1-1,090-0000-0000,出場可,男,４０歳〜４９歳,,,,,,,,,,,,,,,,,,,,,,,,出場希望,,,,,,,,,出場希望,,,,
2026/09/02 09:00:00,一番　英太,イチバンエイタ,甲子園一番町1-1,090-0000-0000,出場可,男,小学１～３年生,,,,,,出場希望,出場希望,出場希望,出場希望,,出場希望,,,出場希望,,,,,,,,,,,,,,,,,,,,,,,
